step,time,kinetic,potential,total,temperature
33,1.65000000000000008e-1,9.58442406675714977e1,-2.01723485809593200e2,-1.05879245142021702e2,9.68123643106782783e-1
34,1.70000000000000012e-1,9.58146373401365992e1,-2.01691309489836271e2,-1.05876672149699672e2,9.67824619597339342e-1
35,1.75000000000000017e-1,9.59449727766343869e1,-2.01819703969636947e2,-1.05874731193002560e2,9.69141139157923104e-1
36,1.79999999999999993e-1,9.62478679918679063e1,-2.02122724017190563e2,-1.05874856025322657e2,9.72200686786544477e-1
37,1.84999999999999998e-1,9.67123247018945875e1,-2.02589139349905395e2,-1.05876814648010807e2,9.76892168706005926e-1
38,1.90000000000000002e-1,9.72984844906618918e1,-2.03178832457691016e2,-1.05880347967029124e2,9.82812974653150428e-1
39,1.95000000000000007e-1,9.79438701948072890e1,-2.03828477820919232e2,-1.05884607626111944e2,9.89332022169770564e-1
40,2.00000000000000011e-1,9.85750172798320818e1,-2.04463567999272044e2,-1.05888550719439962e2,9.95707245250829098e-1
41,2.05000000000000016e-1,9.91229955605426483e1,-2.05014664090815614e2,-1.05891668530272966e2,1.00124237939942073e0
42,2.09999999999999992e-1,9.95380461601309037e1,-2.05430958571863556e2,-1.05892912411732652e2,1.00543480969829191e0
43,2.14999999999999997e-1,9.97974002658091308e1,-2.05689117190410201e2,-1.05891716924601070e2,1.00805454813948625e0
44,2.20000000000000001e-1,9.99111358118948516e1,-2.05799980046654326e2,-1.05888844234759475e2,1.00920339203934195e0
45,2.25000000000000006e-1,9.99166414829280569e1,-2.05802169827600977e2,-1.05885528344672920e2,1.00925900487806119e0
46,2.30000000000000010e-1,9.98535569861825678e1,-2.05738011515008765e2,-1.05884454528826197e2,1.00862178773921785e0
47,2.35000000000000014e-1,9.97374161894544926e1,-2.05623603889257197e2,-1.05886187699802704e2,1.00744864837832826e0
48,2.39999999999999991e-1,9.95443093626358433e1,-2.05434991769065505e2,-1.05890682406429661e2,1.00549807437005900e0
49,2.44999999999999996e-1,9.92202120295086729e1,-2.05115192839164536e2,-1.05894980809655863e2,1.00222436393443104e0
50,2.50000000000000000e-1,9.87163961929553153e1,-2.04613115129823626e2,-1.05896718936868311e2,9.97135315080356688e-1
51,2.55000000000000004e-1,9.80238695613090698e1,-2.03919076702562194e2,-1.05895207141253124e2,9.90140096578879469e-1
