step,time,kinetic,potential,total,temperature
37,1.84999999999999998e-1,8.94084350086720718e1,-1.78362946319632016e2,-8.89545113109599441e1,9.03115505138101682e-1
38,1.90000000000000002e-1,8.91824025318934304e1,-1.78144374951632614e2,-8.89619724197391832e1,9.00832348807004357e-1
39,1.95000000000000007e-1,8.95096260072777028e1,-1.78475071095825200e2,-8.89654450885474972e1,9.04137636437148506e-1
40,2.00000000000000011e-1,9.03427477468376310e1,-1.79306834023421942e2,-8.89640862765843110e1,9.12553007543814410e-1
41,2.05000000000000016e-1,9.16823889540801531e1,-1.80646873876670014e2,-8.89644849225898611e1,9.26084736909900563e-1
42,2.09999999999999992e-1,9.34921593152695749e1,-1.82465223376450638e2,-8.89730640611810628e1,9.44365245608783543e-1
43,2.14999999999999997e-1,9.56161514956344973e1,-1.84605118839544559e2,-8.89889673439100619e1,9.65819712077116144e-1
44,2.20000000000000001e-1,9.77904367717597154e1,-1.86795306032344541e2,-8.90048692605848260e1,9.87782189613734540e-1
45,2.25000000000000006e-1,9.97431002684599122e1,-1.88756598462071025e2,-8.90134981936111132e1,1.00750606331777681e0
46,2.30000000000000010e-1,1.01297269771980424e2,-1.90310349883429438e2,-8.90130801114490140e1,1.02320474517151938e0
47,2.35000000000000014e-1,1.02410434942587770e2,-1.91415522917879599e2,-8.90050879752918291e1,1.03444883780391694e0
48,2.39999999999999991e-1,1.03153491767378426e2,-1.92146681350810667e2,-8.89931895834322404e1,1.04195446229675182e0
49,2.44999999999999996e-1,1.03660173957740639e2,-1.92641488678795582e2,-8.89813147210549431e1,1.04707246421960232e0
50,2.50000000000000000e-1,1.04072756212933058e2,-1.93044906092537161e2,-8.89721498796041033e1,1.05123996174679846e0
51,2.55000000000000004e-1,1.04505976967912915e2,-1.93471377943793129e2,-8.89654009758802147e1,1.05561592896881740e0
